dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.604624,9.068998,0.000655,0.065510,3.275505,163.775266,0.000114
0.020000,1.604595,9.068998,0.000685,0.001474,-3.201796,-323.865084,0.000081
0.020000,1.604536,9.068998,0.000743,0.002942,0.073379,163.758752,0.000017
0.020000,1.610905,9.068998,0.007112,0.318424,15.774117,785.036913,6.283107
0.020000,1.621270,9.068997,0.017477,0.518250,9.991309,-289.140402,6.282979
0.020000,1.634227,9.068993,0.030434,0.647863,6.480620,-175.534429,6.282821
0.020000,1.649777,9.068986,0.045984,0.777507,6.482229,0.080455,6.282633
0.020000,1.667921,9.068974,0.064128,0.907192,6.484259,0.101501,6.282416
0.020000,1.688659,9.068955,0.084867,1.036924,6.486558,0.114930,6.282171
0.020000,1.711993,9.068928,0.108201,1.166708,6.489215,0.132852,6.281899
0.020000,1.737924,9.068891,0.134132,1.296551,6.492143,0.146384,6.281601
0.020000,1.766454,9.068841,0.162661,1.426461,6.495490,0.167369,6.281279
0.020000,1.797582,9.068777,0.193790,1.556443,6.499110,0.181010,6.280934
0.020000,1.831312,9.068695,0.227520,1.686504,6.503076,0.198298,6.280569
0.020000,1.867645,9.068592,0.263853,1.816651,6.507343,0.213352,6.280184
0.020000,1.906583,9.068468,0.302791,1.946891,6.511981,0.231864,6.279782
0.020000,1.948127,9.068318,0.344335,2.077230,6.516936,0.247796,6.279366
0.020000,1.992280,9.068140,0.388489,2.207673,6.522170,0.261699,6.278937
0.020000,2.039044,9.067930,0.435253,2.338229,6.527821,0.282537,6.278497
0.020000,2.088422,9.067688,0.484632,2.468904,6.533724,0.295150,6.278050
0.020000,2.140415,9.067409,0.536626,2.599703,6.539983,0.312945,6.277599
0.020000,2.195027,9.067092,0.591238,2.730635,6.546585,0.330116,6.277145
0.020000,2.252260,9.066733,0.648472,2.861705,6.553466,0.344045,6.276693
0.020000,2.312117,9.066331,0.708331,2.992919,6.560723,0.362830,6.276244
0.020000,2.374601,9.065883,0.770816,3.124284,6.568269,0.377282,6.275804
0.020000,2.439715,9.065388,0.835933,3.255808,6.576182,0.395682,6.275374
0.020000,2.507463,9.064845,0.903683,3.387495,6.584375,0.409641,6.274959
0.020000,2.577848,9.064251,0.974070,3.519354,6.592933,0.427892,6.274562
0.020000,2.650873,9.063608,1.047097,3.651390,6.601786,0.442660,6.274187
0.020000,2.726542,9.062913,1.122770,3.783610,6.610995,0.460442,6.273838
0.020000,2.804858,9.062169,1.201090,3.916020,6.620501,0.475318,6.273520
0.020000,2.885827,9.061374,1.282063,4.048627,6.630361,0.492972,6.273236
0.020000,2.969452,9.060532,1.365691,4.181437,6.640524,0.508165,6.272992
0.020000,3.055736,9.059643,1.451980,4.314458,6.651043,0.525972,6.272791
0.020000,3.144685,9.058711,1.540934,4.447696,6.661868,0.541233,6.272638
0.020000,3.236303,9.057740,1.632557,4.581156,6.673033,0.558258,6.272539
0.020000,3.330595,9.056734,1.726854,4.714847,6.684531,0.574903,6.272498
0.020000,3.427565,9.055698,1.823830,4.848774,6.696358,0.591361,6.272520
0.020000,3.527218,9.054639,1.923489,4.982945,6.708522,0.608184,6.272612
0.020000,3.629560,9.053565,2.025836,5.117365,6.721019,0.624826,6.272777
0.020000,3.734595,9.052483,2.130877,5.252042,6.733867,0.642402,6.273022
0.020000,3.842329,9.051406,2.238617,5.386983,6.747034,0.658339,6.273353
0.020000,3.952768,9.050342,2.349060,5.522194,6.760559,0.676266,6.273775
0.020000,4.065917,9.049306,2.462214,5.657683,6.774419,0.693017,6.274294
0.020000,4.181782,9.048311,2.578083,5.793455,6.788643,0.711188,6.274918
0.020000,4.300368,9.047373,2.696674,5.929519,6.803192,0.727478,6.275651
0.020000,4.421683,9.046509,2.817991,6.065882,6.818115,0.746137,6.276501
0.020000,4.545732,9.045740,2.942042,6.202549,6.833371,0.762782,6.277474
0.020000,4.672520,9.045084,3.068833,6.339529,6.849022,0.782556,6.278577
0.020000,4.802056,9.044566,3.198369,6.476829,6.864983,0.798035,6.279817
0.020000,4.934345,9.044211,3.330659,6.614456,6.881333,0.817536,6.281201
0.020000,5.069393,9.044045,3.465707,6.752416,6.898038,0.835225,6.282737
0.020000,5.207207,9.044099,3.603521,6.890719,6.915118,0.854024,0.001246
0.020000,5.347794,9.044403,3.744109,7.029370,6.932548,0.871470,0.003108
0.020000,5.491161,9.044993,3.887476,7.168377,6.950343,0.889741,0.005143
0.020000,5.637313,9.045905,4.033631,7.307747,6.968501,0.907925,0.007361
0.020000,5.786257,9.047179,4.182581,7.447487,6.986999,0.924919,0.009768
0.020000,5.938000,9.048857,4.334333,7.587604,7.005863,0.943158,0.012375
0.020000,6.092547,9.050985,4.488895,7.728105,7.025058,0.959752,0.015188
0.020000,6.249905,9.053611,4.646275,7.868998,7.044633,0.978767,0.018216
0.020000,6.410079,9.056788,4.806481,8.010287,7.064452,0.990963,0.021469
0.020000,6.573075,9.060569,4.969520,8.151980,7.084637,1.009228,0.024955
0.020000,6.738897,9.065015,5.135402,8.294081,7.105071,1.021710,0.028682
0.020000,6.907550,9.070187,5.304134,8.436597,7.125812,1.037067,0.032660
0.020000,7.079037,9.076151,5.475724,8.579532,7.146731,1.045929,0.036898
0.020000,7.253361,9.082976,5.650182,8.722890,7.167884,1.057676,0.041406
0.020000,7.430525,9.090738,5.827516,8.866673,7.189183,1.064941,0.046191
0.020000,7.610529,9.099513,6.007733,9.010885,7.210609,1.071279,0.051265
0.020000,7.793373,9.109384,6.190844,9.155527,7.232067,1.072896,0.056636
0.020000,7.979056,9.120437,6.376856,9.300597,7.253533,1.073319,0.062314
0.020000,8.167575,9.132763,6.565778,9.446095,7.274893,1.067978,0.068307
0.020000,8.358926,9.146458,6.757618,9.592018,7.296126,1.061663,0.074626
0.020000,8.553102,9.161621,6.952385,9.738359,7.317063,1.046846,0.081279
0.020000,8.750095,9.178357,7.150088,9.885112,7.337649,1.029297,0.088275
0.020000,8.949893,9.196776,7.350733,10.032267,7.357744,1.004739,0.095623
0.020000,9.152483,9.216992,7.554329,10.179811,7.377230,0.974293,0.103332
0.020000,9.357849,9.239123,7.760884,10.327728,7.395853,0.931194,0.111410
0.020000,9.565970,9.263293,7.970404,10.476001,7.413624,0.888507,0.119864
0.020000,9.776824,9.289630,8.182896,10.624610,7.430439,0.840765,0.128702
0.020000,9.989707,9.318172,8.397684,10.739407,5.739846,-84.529666,0.137901
0.020000,10.202938,9.348791,8.613102,10.770919,1.575631,-208.210730,0.147389
0.020000,10.414834,9.381297,8.827477,10.718734,-2.609276,-209.245325,0.157088
0.020000,10.624311,9.415531,9.039733,10.612797,-5.296826,-134.377514,0.166935
0.020000,10.830963,9.451408,9.249476,10.487142,-6.282743,-49.295864,0.176900
0.020000,11.034759,9.488896,9.456692,10.360780,-6.318133,-1.769509,0.186966
0.020000,11.235672,9.527958,9.661366,10.233723,-6.352845,-1.735574,0.197119
0.020000,11.433673,9.568551,9.863485,10.105963,-6.388009,-1.758219,0.207343
0.020000,11.628736,9.610631,10.063036,9.977528,-6.421725,-1.685793,0.217624
0.020000,11.823966,9.655600,10.263378,10.017109,1.979063,420.039404,0.238949
0.020000,12.027196,9.708086,10.473276,10.494891,23.889083,1095.500977,0.266241
0.020000,12.224469,9.764577,10.678478,10.260125,-11.738304,-1781.369331,0.291268
0.020000,12.415869,9.824371,10.879001,10.026112,-11.700629,1.883730,0.314047
0.020000,12.601527,9.886819,11.074880,9.793992,-11.606022,4.730371,0.334619
0.020000,12.781614,9.951329,11.266173,9.564615,-11.468832,6.859496,0.353044
0.020000,12.956324,10.017361,11.452944,9.338581,-11.301705,8.356336,0.369396
0.020000,13.125865,10.084431,11.635270,9.116270,-11.115549,9.307807,0.383755
0.020000,13.290452,10.152107,11.813228,8.897906,-10.918231,9.865921,0.396208
0.020000,13.450302,10.220002,11.986899,8.683567,-10.716941,10.064496,0.406843
0.020000,13.605626,10.287773,12.156364,8.473249,-10.515871,10.053482,0.415747
0.020000,13.756628,10.355115,12.321702,8.266873,-10.318833,9.851928,0.423007
0.020000,13.903501,10.421759,12.482988,8.064315,-10.127896,9.546849,0.428706
0.020000,14.046429,10.487469,12.640296,7.865429,-9.944275,9.181033,0.432924
0.020000,14.185580,10.552035,12.793698,7.670054,-9.768777,8.774926,0.435737
0.020000,14.321112,10.615276,12.943258,7.478026,-9.601367,8.370497,0.437220
0.020000,14.453169,10.677032,13.089042,7.289190,-9.441828,7.976939,0.437441
0.020000,14.581883,10.737166,13.231110,7.103398,-9.289605,7.611120,0.436467
0.020000,14.707373,10.795557,13.369520,6.920518,-9.143993,7.280633,0.434362
0.020000,14.829748,10.852106,13.504329,6.740434,-9.004210,6.989138,0.431186
0.020000,14.949105,10.906728,13.635590,6.563049,-8.869258,6.747591,0.426999
0.020000,15.065529,10.959352,13.763355,6.388280,-8.738415,6.542137,0.421857
0.020000,15.179100,11.009923,13.887677,6.216062,-8.610894,6.376083,0.415816
0.020000,15.289886,11.058398,14.008604,6.046349,-8.485642,6.262603,0.408931
0.020000,15.397948,11.104747,14.126186,5.879107,-8.362128,6.175711,0.401256
0.020000,15.503340,11.148949,14.240472,5.714309,-8.239899,6.111423,0.392844
0.020000,15.606109,11.190998,14.351511,5.551950,-8.117971,6.096427,0.383748
0.020000,15.706299,11.230894,14.459351,5.392020,-7.996466,6.075246,0.374022
0.020000,15.803944,11.268648,14.564042,5.234528,-7.874634,6.091556,0.363718
0.020000,15.899080,11.304281,14.665631,5.079474,-7.752697,6.096884,0.352889
0.020000,15.991734,11.337819,14.764169,4.926866,-7.630365,6.116589,0.341590
0.020000,16.081932,11.369300,14.859703,4.776709,-7.507846,6.125970,0.329873
0.020000,16.169699,11.398764,14.952283,4.629004,-7.385256,6.129477,0.317792
0.020000,16.255054,11.426262,15.041958,4.483745,-7.262977,6.113939,0.305401
0.020000,16.338017,11.451846,15.128776,4.340919,-7.141311,6.083326,0.292752
0.020000,16.418605,11.475577,15.212786,4.200504,-7.020732,6.028945,0.279897
0.020000,16.496836,11.497518,15.294036,4.062467,-6.901838,5.944684,0.266890
0.020000,16.572724,11.517737,15.372571,3.926766,-6.785037,5.840061,0.253781
0.020000,16.646284,11.536304,15.448438,3.793345,-6.671052,5.699232,0.240619
0.020000,16.717530,11.553292,15.521681,3.662142,-6.560174,5.543923,0.227453
0.020000,16.786474,11.568776,15.592342,3.533070,-6.453574,5.329990,0.214330
0.020000,16.853129,11.582833,15.660463,3.406056,-6.350713,5.143039,0.201294
0.020000,16.917507,11.595539,15.726083,3.280997,-6.252937,4.888793,0.188389
0.020000,16.979619,11.606973,15.789239,3.157789,-6.160433,4.625226,0.175653
0.020000,17.039476,11.617212,15.849965,3.036316,-6.073622,4.340552,0.163126
0.020000,17.097088,11.626332,15.908295,2.916489,-5.991347,4.113723,0.150843
0.020000,17.152465,11.634411,15.964258,2.798157,-5.916595,3.737630,0.138837
0.020000,17.205616,11.641522,16.017883,2.681227,-5.846505,3.504469,0.127138
0.020000,17.256549,11.647739,16.069194,2.565575,-5.782598,3.195347,0.115775
0.020000,17.305273,11.653135,16.118216,2.451090,-5.724254,2.917239,0.104772
0.020000,17.351795,11.657778,16.164969,2.337630,-5.672989,2.563249,0.094152
0.020000,17.396121,11.661735,16.209471,2.225133,-5.624869,2.405988,0.083937
0.020000,17.438258,11.665073,16.251740,2.113453,-5.583993,2.043797,0.074143
0.020000,17.478212,11.667853,16.291791,2.002523,-5.546507,1.874314,0.064788
0.020000,17.515988,11.670136,16.329636,1.892232,-5.514558,1.597457,0.055885
0.020000,17.551590,11.671977,16.365286,1.782503,-5.486429,1.406434,0.047447
0.020000,17.585024,11.673431,16.398751,1.673258,-5.462286,1.207148,0.039483
0.020000,17.616293,11.674549,16.430040,1.564440,-5.440904,1.069114,0.032004
0.020000,17.645400,11.675379,16.459158,1.455940,-5.424999,0.795244,0.025017
0.020000,17.672348,11.675966,16.486113,1.347749,-5.409516,0.774137,0.018527
0.020000,17.697141,11.676351,16.510910,1.239810,-5.396981,0.626752,0.012541
0.020000,17.719782,11.676573,16.533551,1.132063,-5.387331,0.482484,0.007063
0.020000,17.740271,11.676667,16.554040,1.024466,-5.379831,0.375025,0.002096
0.020000,17.758611,11.676665,16.572381,0.917027,-5.371951,0.393971,6.280828
0.020000,17.774804,11.676595,16.588574,0.809663,-5.368226,0.186290,6.276892
0.020000,17.788852,11.676482,16.602622,0.702406,-5.362825,0.270017,6.273474
0.020000,17.800755,11.676350,16.614526,0.595184,-5.361137,0.084435,6.270575
0.020000,17.810515,11.676215,16.624286,0.488024,-5.358001,0.156772,6.268197
0.020000,17.818131,11.676094,16.631904,0.380890,-5.356658,0.067152,6.266340
0.020000,17.823606,11.675998,16.637380,0.273788,-5.355126,0.076616,6.265005
0.020000,17.826940,11.675936,16.640714,0.166687,-5.355027,0.004928,6.264192
0.020000,17.828369,11.675908,16.642143,0.071491,-4.759844,29.759139,6.263843
0.020000,17.828667,11.675903,16.642441,0.014907,-2.829200,96.532247,6.263770
0.020000,17.828667,11.675903,16.642441,0.000000,-0.745326,104.193672,6.263770
