dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.923163,11.675783,0.000654,0.065409,3.270461,163.523047,3.152350
0.020000,17.923377,11.675785,0.000868,0.010718,-2.734538,-300.249967,3.152584
0.020000,17.922729,11.675778,0.001517,0.032427,1.085450,190.999419,3.153052
0.020000,17.915526,11.675693,0.008720,0.360168,16.387016,765.078304,3.153757
0.020000,17.905925,11.675571,0.018321,0.480050,5.994108,-519.645415,3.154700
0.020000,17.893931,11.675407,0.030317,0.599767,5.985872,-0.411804,3.155885
0.020000,17.879547,11.675191,0.044703,0.719301,5.976702,-0.458487,3.157317
0.020000,17.862778,11.674913,0.061474,0.838574,5.963621,-0.654043,3.159000
0.020000,17.843628,11.674561,0.080627,0.957631,5.952842,-0.538960,3.160940
0.020000,17.822107,11.674121,0.102153,1.076299,5.933421,-0.971057,3.163145
0.020000,17.798220,11.673577,0.126046,1.194663,5.918185,-0.761791,3.165622
0.020000,17.771977,11.672910,0.152297,1.312542,5.893982,-1.210153,3.168382
0.020000,17.743390,11.672100,0.180896,1.429961,5.870916,-1.153310,3.171433
0.020000,17.712468,11.671126,0.211834,1.546873,5.845594,-1.266070,3.174788
0.020000,17.679225,11.669961,0.245097,1.663164,5.814558,-1.551798,3.178460
0.020000,17.643676,11.668579,0.280673,1.778784,5.781018,-1.677035,3.182463
0.020000,17.605837,11.666949,0.318547,1.893719,5.746742,-1.713789,3.186814
0.020000,17.565726,11.665040,0.358703,2.007787,5.703406,-2.166809,3.191529
0.020000,17.523364,11.662815,0.401123,2.121010,5.661143,-2.113127,3.196629
0.020000,17.478775,11.660235,0.445787,2.233199,5.609476,-2.583360,3.202135
0.020000,17.431983,11.657260,0.492673,2.344304,5.555229,-2.712341,3.208070
0.020000,17.383018,11.653844,0.541758,2.454233,5.496431,-2.939896,3.214462
0.020000,17.331911,11.649937,0.593014,2.562799,5.428341,-3.404525,3.221339
0.020000,17.278698,11.645488,0.646412,2.669935,5.356799,-3.577090,3.228733
0.020000,17.223419,11.640438,0.701921,2.775439,5.275165,-4.081678,3.236680
0.020000,17.166120,11.634728,0.759504,2.879153,5.185710,-4.472763,3.245217
0.020000,17.106849,11.628291,0.819123,2.980951,5.089890,-4.790987,3.254388
0.020000,17.045664,11.621057,0.880734,3.080562,4.980577,-5.465660,3.264239
0.020000,16.982628,11.612950,0.944290,3.177775,4.860631,-5.997296,3.274824
0.020000,16.917810,11.603890,1.009738,3.272401,4.731316,-6.465746,3.286199
0.020000,16.851291,11.593791,1.077019,3.364071,4.583495,-7.391082,3.298427
0.020000,16.783159,11.582561,1.146071,3.452582,4.425537,-7.897858,3.311579
0.020000,16.713513,11.570103,1.216822,3.537535,4.247647,-8.894544,3.325731
0.020000,16.642467,11.556315,1.289194,3.618618,4.054150,-9.674841,3.340968
0.020000,16.570144,11.541088,1.363103,3.695428,3.840512,-10.681903,3.357383
0.020000,16.496685,11.524309,1.438453,3.767530,3.605092,-11.770985,3.375079
0.020000,16.422246,11.505861,1.515144,3.834559,3.351438,-12.682704,3.394167
0.020000,16.347000,11.485621,1.593065,3.896021,3.073126,-13.915581,3.414768
0.020000,16.271141,11.463464,1.672093,3.951428,2.770339,-15.139339,3.437014
0.020000,16.194881,11.439262,1.752102,4.000434,2.450302,-16.001858,3.461045
0.020000,16.118451,11.412887,1.832954,4.042602,2.108418,-17.094226,3.487009
0.020000,16.042104,11.384213,1.914509,4.077734,1.756597,-17.591064,3.515061
0.020000,15.966108,11.353113,1.996622,4.105658,1.396209,-18.019388,3.545358
0.020000,15.890748,11.319466,2.079152,4.126497,1.041919,-17.714485,3.578053
0.020000,15.816318,11.283157,2.161967,4.140736,0.711961,-16.497882,3.613291
0.020000,15.743114,11.244070,2.244952,4.149259,0.426162,-14.289983,3.651197
0.020000,15.671427,11.202096,2.328024,4.153594,0.216719,-10.472158,3.691862
0.020000,15.601529,11.157119,2.411141,4.155870,0.113840,-5.143924,3.735330
0.020000,15.533668,11.109015,2.494323,4.159089,0.160939,2.354955,3.781582
0.020000,15.468047,11.057639,2.577663,4.167016,0.396327,11.769407,3.830514
0.020000,15.404830,11.002810,2.661345,4.184091,0.853756,22.871434,3.881926
0.020000,15.344131,10.944304,2.745649,4.215226,1.556776,35.150973,3.935513
0.020000,15.286028,10.881843,2.830956,4.265347,2.506006,47.461528,3.990859
0.020000,15.230576,10.815095,2.917734,4.338861,3.675710,58.485189,4.047455
0.020000,15.177826,10.743683,3.006515,4.439090,5.011450,66.787015,4.104717
0.020000,15.127850,10.667210,3.097871,4.567769,6.433976,71.126307,4.162027
0.020000,15.080754,10.585287,3.192366,4.724763,7.849708,70.786597,4.218764
0.020000,15.036689,10.497570,3.290529,4.908166,9.170116,66.020364,4.274355
0.020000,14.995848,10.403787,3.392819,5.114471,10.315274,57.257903,4.328298
0.020000,14.958453,10.303763,3.499604,5.339280,11.240427,46.257692,4.380191
0.020000,14.924737,10.197427,3.611157,5.577652,11.918630,33.910105,4.429739
0.020000,14.894928,10.084809,3.727654,5.824838,12.359269,22.031964,4.476748
0.020000,14.869228,9.966027,3.849184,6.076503,12.583242,11.198649,4.521121
0.020000,14.847806,9.841272,3.975766,6.329062,12.627957,2.235776,4.562839
0.020000,14.830791,9.710782,4.107360,6.579722,12.533000,-4.747843,4.601944
0.020000,14.818270,9.574832,4.243886,6.826278,12.327827,-10.258684,4.638523
0.020000,14.810290,9.433707,4.385236,7.067535,12.062836,-13.249535,4.672694
0.020000,14.806861,9.287698,4.531285,7.302431,11.744797,-15.901932,4.704594
0.020000,14.807966,9.137088,4.681900,7.530739,11.415418,-16.468950,4.734368
0.020000,14.813563,8.982144,4.836944,7.752211,11.073579,-17.091949,4.762166
0.020000,14.823169,8.827885,4.991503,7.727939,-1.213601,-614.359027,4.786040
0.020000,14.837151,8.665418,5.154570,8.153355,21.270797,1124.219896,4.810795
0.020000,14.855387,8.502927,5.318081,8.175553,1.109916,-1008.044039,4.837917
0.020000,14.878258,8.340850,5.481764,8.184150,0.429848,-34.003399,4.867706
0.020000,14.906160,8.179699,5.645312,8.177421,-0.336466,-38.315707,4.900495
0.020000,14.939497,8.020068,5.808387,8.153723,-1.184885,-42.420962,4.936653
0.020000,14.978670,7.862635,5.970620,8.111671,-2.102590,-45.885214,4.976580
