dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.913302,12.592380,0.000654,0.065409,3.270461,163.523047,3.152350
0.020000,17.913302,12.592380,0.003270,0.196228,6.540922,163.523047,3.152584
0.020000,17.912224,12.592368,0.008503,0.327046,6.540922,-0.000000,3.153052
0.020000,17.904376,12.592275,0.016352,0.457865,6.540922,0.000000,3.153757
0.020000,17.893911,12.592143,0.026818,0.588683,6.540922,-0.000000,3.154700
0.020000,17.880830,12.591963,0.039900,0.719501,6.540922,0.000000,3.155885
0.020000,17.865134,12.591728,0.055598,0.850320,6.540922,-0.000000,3.157317
0.020000,17.846822,12.591424,0.073912,0.981138,6.540922,0.000000,3.159000
0.020000,17.825894,12.591040,0.094843,1.111957,6.540922,-0.000000,3.160940
0.020000,17.802352,12.590558,0.118391,1.242775,6.540922,0.000000,3.163145
0.020000,17.776195,12.589962,0.144554,1.373594,6.540922,0.000000,3.165622
0.020000,17.747424,12.589231,0.173334,1.504412,6.540922,0.000000,3.168382
0.020000,17.716041,12.588342,0.204731,1.635230,6.540922,0.000000,3.171433
0.020000,17.682044,12.587271,0.238744,1.766049,6.540922,0.000000,3.174788
0.020000,17.645438,12.585988,0.275373,1.896867,6.540922,0.000000,3.178460
0.020000,17.606222,12.584463,0.314618,2.027686,6.540922,-0.000000,3.182463
0.020000,17.564399,12.582662,0.356480,2.158504,6.540922,0.000000,3.186814
0.020000,17.519971,12.580547,0.400959,2.289323,6.540922,-0.000000,3.191529
0.020000,17.472941,12.578077,0.448053,2.420141,6.540922,0.000000,3.196629
0.020000,17.423313,12.575206,0.497764,2.550960,6.540922,-0.000000,3.202135
0.020000,17.371091,12.571886,0.550092,2.681778,6.540922,0.000000,3.208070
0.020000,17.316281,12.568061,0.605035,2.812596,6.540922,-0.000000,3.214462
0.020000,17.258888,12.563674,0.662595,2.943415,6.540922,0.000000,3.221339
0.020000,17.198921,12.558660,0.722772,3.074233,6.540922,-0.000000,3.228733
0.020000,17.136389,12.552948,0.785565,3.205052,6.540922,0.000000,3.236680
0.020000,17.071303,12.546461,0.850974,3.335870,6.540922,0.000000,3.245217
0.020000,17.003675,12.539116,0.919000,3.466689,6.540922,-0.000000,3.254388
0.020000,16.933522,12.530821,0.989641,3.597507,6.540922,0.000000,3.264239
0.020000,16.860863,12.521477,1.062900,3.728325,6.540922,-0.000000,3.274824
0.020000,16.785718,12.510973,1.138775,3.859144,6.540922,0.000000,3.286199
0.020000,16.708117,12.499191,1.217266,3.989962,6.540922,-0.000000,3.298427
0.020000,16.628090,12.485999,1.298373,4.120781,6.540922,0.000000,3.311579
0.020000,16.545675,12.471257,1.382097,4.251599,6.540922,-0.000000,3.325731
0.020000,16.460918,12.454806,1.468437,4.382418,6.540922,0.000000,3.340968
0.020000,16.373871,12.436478,1.557394,4.513236,6.540922,0.000000,3.357383
0.020000,16.284599,12.416087,1.648966,4.644055,6.540922,0.000000,3.375079
0.020000,16.193177,12.393428,1.743156,4.774873,6.540922,-0.000000,3.394167
0.020000,16.099696,12.368281,1.839961,4.905691,6.540922,0.000000,3.414768
0.020000,16.004265,12.340404,1.939383,5.036510,6.540922,0.000000,3.437014
0.020000,15.907010,12.309536,2.041422,5.167328,6.540922,-0.000000,3.461045
0.020000,15.808084,12.275395,2.146076,5.298147,6.540922,0.000000,3.487009
0.020000,15.707667,12.237676,2.253348,5.428965,6.540922,0.000000,3.515061
0.020000,15.605971,12.196053,2.363235,5.559784,6.540922,0.000000,3.545358
0.020000,15.503249,12.150184,2.475739,5.690602,6.540922,-0.000000,3.578053
0.020000,15.399792,12.099706,2.590859,5.821420,6.540922,0.000000,3.613291
0.020000,15.295943,12.044248,2.708596,5.952239,6.540922,0.000000,3.651197
0.020000,15.192095,11.983433,2.828949,6.083057,6.540922,-0.000000,3.691862
0.020000,15.088698,11.916889,2.951918,6.213876,6.540922,0.000000,3.735330
0.020000,14.986256,11.844262,3.077504,6.344694,6.540922,0.000000,3.781582
0.020000,14.885329,11.765230,3.205706,6.475513,6.540922,0.000000,3.830514
0.020000,14.786518,11.679521,3.336524,6.606331,6.540922,0.000000,3.881926
0.020000,14.690462,11.586926,3.469959,6.737150,6.540922,-0.000000,3.935513
0.020000,14.597811,11.487322,3.606010,6.867968,6.540922,0.000000,3.990859
0.020000,14.509212,11.380674,3.744678,6.998786,6.540922,0.000000,4.047455
0.020000,14.425275,11.267051,3.885962,7.129605,6.540922,-0.000000,4.104717
0.020000,14.346557,11.146614,4.029862,7.260423,6.540922,0.000000,4.162027
0.020000,14.273532,11.019615,4.176379,7.391242,6.540922,-0.000000,4.218764
0.020000,14.206582,10.886376,4.325512,7.522060,6.540922,0.000000,4.274355
0.020000,14.145986,10.747271,4.477261,7.652879,6.540922,0.000000,4.328298
0.020000,14.091918,10.602702,4.631627,7.783697,6.540922,0.000000,4.380191
0.020000,14.044460,10.453083,4.788609,7.914515,6.540922,0.000000,4.429739
0.020000,14.003610,10.298816,4.948207,8.045334,6.540922,-0.000000,4.476748
0.020000,13.969294,10.140286,5.110422,8.176152,6.540922,0.000000,4.521121
0.020000,13.941388,9.977847,5.275254,8.306971,6.540922,0.000000,4.562839
0.020000,13.919727,9.811816,5.442701,8.437789,6.540922,-0.000000,4.601944
0.020000,13.904120,9.642480,5.612765,8.568608,6.540922,0.000000,4.638523
0.020000,13.894362,9.470084,5.785445,8.699426,6.540922,-0.000000,4.672694
0.020000,13.890239,9.294844,5.960742,8.830245,6.540922,0.000000,4.704594
0.020000,13.891538,9.116942,6.138655,8.961063,6.540922,0.000000,4.734368
0.020000,13.898048,8.936536,6.319185,9.091881,6.540922,-0.000000,4.762166
0.020000,13.909004,8.760433,6.502330,9.222700,6.540922,0.000000,4.786040
0.020000,13.924936,8.575360,6.688093,9.353518,6.540922,0.000000,4.810795
0.020000,13.945950,8.388163,6.876471,9.484337,6.540922,-0.000000,4.837917
0.020000,13.972643,8.199050,7.067466,9.615155,6.540922,0.000000,4.867706
0.020000,14.005680,8.008287,7.261077,9.745974,6.540922,0.000000,4.900495
0.020000,14.045801,7.816216,7.457305,9.876792,6.540922,-0.000000,4.936653
0.020000,14.093824,7.623272,7.656149,10.007610,6.540922,0.000000,4.976580
0.020000,14.150642,7.430006,7.857609,10.138429,6.540922,-0.000000,5.020699
0.020000,14.217214,7.237115,8.061686,10.269247,6.540922,0.000000,5.069426
0.020000,14.294547,7.045460,8.268379,10.400066,6.540922,0.000000,5.123144
0.020000,14.383662,6.856103,8.477689,10.530884,6.540922,-0.000000,5.182140
0.020000,14.485538,6.670312,8.689615,10.661703,6.540922,0.000000,5.246539
0.020000,14.601041,6.489567,8.904157,10.792521,6.540922,0.000000,5.316207
0.020000,14.730828,6.315523,9.121316,10.923340,6.540922,-0.000000,5.390668
0.020000,14.875255,6.149942,9.341091,11.054158,6.540922,0.000000,5.469047
0.020000,15.034294,5.994580,9.563482,11.184976,6.540922,0.000000,5.550071
0.020000,15.206974,5.851443,9.787836,11.250386,3.270461,-163.523047,5.631929
0.020000,15.390928,5.722641,10.012460,11.212112,-1.913660,-259.206066,5.712347
0.020000,15.583229,5.609432,10.235666,11.108430,-5.184121,-163.523047,5.789273
0.020000,15.781333,5.511897,10.456526,10.977612,-6.540922,-67.840029,5.861363
0.020000,15.983308,5.429319,10.674770,10.846793,-6.540922,-0.000000,5.927969
0.020000,16.187661,5.360615,10.890398,10.715975,-6.540922,0.000000,5.988925
0.020000,16.393146,5.304595,11.103409,10.585156,-6.540922,0.000000,6.044350
0.020000,16.598748,5.260049,11.313804,10.454338,-6.540922,0.000000,6.094552
0.020000,16.803666,5.225800,11.521583,10.323519,-6.540922,-0.000000,6.139940
0.020000,17.007279,5.200746,11.726745,10.192701,-6.540922,0.000000,6.180962
0.020000,17.209109,5.183873,11.929291,10.061883,-6.540922,-0.000000,6.218070
0.020000,17.408798,5.174267,12.129220,9.931064,-6.540922,0.000000,6.251689
0.020000,17.597933,5.169706,12.326533,9.800246,-6.540922,0.000000,6.262871
0.020000,17.792602,5.166509,12.521230,9.669427,-6.540922,-0.000000,6.270886
0.020000,17.984676,5.165018,12.713311,9.538609,-6.540922,0.000000,6.280210
0.020000,18.174139,5.165441,12.902775,9.407790,-6.540922,-0.000000,0.007692
0.020000,18.360969,5.167980,13.089622,9.276972,-6.540922,0.000000,0.019744
0.020000,18.545134,5.172834,13.273853,9.146153,-6.540922,0.000000,0.033234
0.020000,18.726598,5.180202,13.455468,9.015335,-6.540922,0.000000,0.048221
0.020000,18.905311,5.190282,13.634467,8.884517,-6.540922,-0.000000,0.064774
0.020000,19.081211,5.203271,13.810849,8.753698,-6.540922,0.000000,0.082970
0.020000,19.254227,5.219366,13.984615,8.622880,-6.540922,-0.000000,0.102891
0.020000,19.424271,5.238762,14.155764,8.492061,-6.540922,0.000000,0.124628
0.020000,19.591238,5.261655,14.324297,8.361243,-6.540922,0.000000,0.148272
0.020000,19.755007,5.288233,14.490214,8.230424,-6.540922,-0.000000,0.173915
0.020000,19.915438,5.318683,14.653514,8.099606,-6.540922,0.000000,0.201648
0.020000,20.072370,5.353179,14.814198,7.968788,-6.540922,-0.000000,0.231552
0.020000,20.225618,5.391884,14.972266,7.837969,-6.540922,0.000000,0.263695
0.020000,20.374979,5.434941,15.127717,7.707151,-6.540922,0.000000,0.298123
0.020000,20.520227,5.482470,15.280552,7.576332,-6.540922,-0.000000,0.334852
0.020000,20.661116,5.534556,15.430770,7.445514,-6.540922,0.000000,0.373855
0.020000,20.797387,5.591244,15.578372,7.314695,-6.540922,0.000000,0.415059
0.020000,20.928770,5.652530,15.723358,7.183877,-6.540922,0.000000,0.458328
0.020000,21.054995,5.718353,15.865727,7.053058,-6.540922,0.000000,0.503462
0.020000,21.175801,5.788591,16.005480,6.922240,-6.540922,-0.000000,0.550194
0.020000,21.290947,5.863051,16.142617,6.791422,-6.540922,0.000000,0.598188
0.020000,21.400224,5.941476,16.277137,6.660603,-6.540922,0.000000,0.647055
0.020000,21.503471,6.023544,16.409041,6.529785,-6.540922,0.000000,0.696363
0.020000,21.600579,6.108878,16.538329,6.398966,-6.540922,0.000000,0.745663
0.020000,21.691504,6.197055,16.665000,6.268148,-6.540922,0.000000,0.794506
0.020000,21.776265,6.287620,16.789054,6.137329,-6.540922,-0.000000,0.842472
0.020000,21.854947,6.380106,16.910493,6.006511,-6.540922,0.000000,0.889184
0.020000,21.927697,6.474040,17.029315,5.875693,-6.540922,0.000000,0.934327
0.020000,21.994712,6.568965,17.145521,5.744874,-6.540922,0.000000,0.977654
0.020000,22.056232,6.664442,17.259110,5.614056,-6.540922,0.000000,1.018985
0.020000,22.112529,6.760066,17.370083,5.483237,-6.540922,0.000000,1.058207
0.020000,22.163899,6.855465,17.478439,5.352419,-6.540922,-0.000000,1.095265
0.020000,22.210648,6.950304,17.584180,5.221600,-6.540922,0.000000,1.130152
0.020000,22.253088,7.044284,17.687303,5.090782,-6.540922,0.000000,1.162901
0.020000,22.291526,7.137147,17.787811,4.959963,-6.540922,0.000000,1.193573
0.020000,22.326265,7.228663,17.885702,4.829145,-6.540922,0.000000,1.222249
0.020000,22.357593,7.318637,17.980977,4.698327,-6.540922,0.000000,1.249025
0.020000,22.385788,7.406899,18.073635,4.567508,-6.540922,-0.000000,1.274005
0.020000,22.411109,7.493305,18.163677,4.436690,-6.540922,0.000000,1.297295
0.020000,22.433801,7.577732,18.251103,4.305871,-6.540922,-0.000000,1.319001
0.020000,22.454093,7.660076,18.335912,4.175053,-6.540922,0.000000,1.339226
0.020000,22.472197,7.740249,18.418105,4.044234,-6.540922,0.000000,1.358071
0.020000,22.488310,7.818176,18.497681,3.913416,-6.540922,-0.000000,1.375629
0.020000,22.502613,7.893794,18.574641,3.782598,-6.540922,0.000000,1.391988
0.020000,22.515274,7.967053,18.648985,3.651779,-6.540922,0.000000,1.407233
0.020000,22.526448,8.037904,18.720712,3.520961,-6.540922,-0.000000,1.421439
0.020000,22.536276,8.106310,18.789824,3.390142,-6.540922,0.000000,1.434675
0.020000,22.544891,8.172245,18.856318,3.259324,-6.540922,-0.000000,1.447009
0.020000,22.552412,8.235678,18.920196,3.128505,-6.540922,0.000000,1.458498
0.020000,22.558950,8.296591,18.981458,2.997687,-6.540922,0.000000,1.469198
0.020000,22.564606,8.354962,19.040104,2.866868,-6.540922,-0.000000,1.479157
0.020000,22.569474,8.410780,19.096133,2.736050,-6.540922,0.000000,1.488422
0.020000,22.573638,8.464028,19.149546,2.605232,-6.540922,0.000000,1.497034
0.020000,22.577179,8.514701,19.200342,2.474413,-6.540922,-0.000000,1.505030
0.020000,22.580166,8.562788,19.248522,2.343595,-6.540922,0.000000,1.512444
0.020000,22.582667,8.608285,19.294086,2.212776,-6.540922,0.000000,1.519308
0.020000,22.584740,8.651181,19.337034,2.081958,-6.540922,-0.000000,1.525650
0.020000,22.586443,8.691476,19.377364,1.951139,-6.540922,0.000000,1.531495
0.020000,22.587823,8.729166,19.415079,1.820321,-6.540922,0.000000,1.536866
0.020000,22.588927,8.764246,19.450177,1.689502,-6.540922,0.000000,1.541784
0.020000,22.589796,8.796716,19.482659,1.558684,-6.540922,-0.000000,1.546268
0.020000,22.590468,8.826574,19.512525,1.427866,-6.540922,0.000000,1.550334
0.020000,22.590976,8.853819,19.539774,1.297047,-6.540922,0.000000,1.553998
0.020000,22.591349,8.878449,19.564407,1.166229,-6.540922,-0.000000,1.557273
0.020000,22.591615,8.900463,19.586423,1.035410,-6.540922,0.000000,1.560170
0.020000,22.591796,8.919863,19.605823,0.904592,-6.540922,0.000000,1.562700
0.020000,22.591914,8.936645,19.622607,0.773773,-6.540922,0.000000,1.564872
0.020000,22.591985,8.950814,19.636774,0.642955,-6.540922,-0.000000,1.566693
0.020000,22.592024,8.962365,19.648325,0.512137,-6.540922,0.000000,1.568169
0.020000,22.592042,8.971299,19.657259,0.381318,-6.540922,0.000000,1.569306
0.020000,22.592049,8.977615,19.663578,0.250500,-6.540922,-0.000000,1.570108
0.020000,22.592051,8.981318,19.667279,0.119681,-6.540922,0.000000,1.570576
0.020000,22.592051,8.982788,19.668748,0.027136,-4.627262,95.683018,1.570762
0.020000,22.592051,8.983059,19.669019,0.000000,-1.356801,163.523047,1.570796
0.020000,22.592051,8.983059,19.669019,0.000000,0.000000,67.840029,1.570796
