dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.604456,10.902298,0.000655,0.065514,3.275699,163.784932,0.000070
0.020000,1.604469,10.902298,0.000669,0.000677,-3.241848,-325.877345,0.000055
0.020000,1.604496,10.902298,0.000696,0.001349,0.033624,163.773628,0.000026
0.020000,1.607744,10.902298,0.003944,0.162399,8.052473,400.942436,6.283167
0.020000,1.618280,10.902298,0.014479,0.526775,18.218800,508.316347,6.283109
0.020000,1.631449,10.902296,0.027648,0.658434,6.582968,-581.791591,6.283037
0.020000,1.647250,10.902293,0.043449,0.790071,6.581837,-0.056554,6.282952
0.020000,1.665684,10.902288,0.061883,0.921681,6.580508,-0.066438,6.282854
0.020000,1.686749,10.902280,0.082948,1.053260,6.578930,-0.078894,6.282745
0.020000,1.710445,10.902268,0.106644,1.184802,6.577117,-0.090666,6.282623
0.020000,1.736771,10.902252,0.132970,1.316303,6.575053,-0.103225,6.282492
0.020000,1.765726,10.902229,0.161925,1.447759,6.572798,-0.112753,6.282351
0.020000,1.797309,10.902201,0.193509,1.579166,6.570332,-0.123258,6.282202
0.020000,1.831520,10.902164,0.227719,1.710519,6.567639,-0.134687,6.282046
0.020000,1.868356,10.902119,0.264555,1.841812,6.564676,-0.148151,6.281884
0.020000,1.907817,10.902065,0.304016,1.973042,6.561511,-0.158241,6.281718
0.020000,1.949901,10.901999,0.346100,2.104205,6.558133,-0.168894,6.281549
0.020000,1.994607,10.901922,0.390806,2.235295,6.554512,-0.181028,6.281378
0.020000,2.041933,10.901833,0.438132,2.366310,6.550716,-0.189800,6.281208
0.020000,2.091878,10.901730,0.488077,2.497242,6.546607,-0.205456,6.281039
0.020000,2.144439,10.901613,0.540639,2.628089,6.542347,-0.213003,6.280875
0.020000,2.199616,10.901481,0.595816,2.758846,6.537844,-0.225177,6.280717
0.020000,2.257406,10.901334,0.653606,2.889507,6.533077,-0.238308,6.280566
0.020000,2.317807,10.901171,0.714007,3.020070,6.528166,-0.245586,6.280426
0.020000,2.380817,10.900993,0.777018,3.150529,6.522941,-0.261249,6.280298
0.020000,2.446435,10.900800,0.842636,3.280880,6.517558,-0.269152,6.280185
0.020000,2.514657,10.900592,0.910858,3.411119,6.511921,-0.281859,6.280089
0.020000,2.585481,10.900370,0.981683,3.541240,6.506054,-0.293346,6.280013
0.020000,2.658906,10.900135,1.055108,3.671239,6.499977,-0.303841,6.279960
0.020000,2.734928,10.899888,1.131130,3.801113,6.493663,-0.315688,6.279931
0.020000,2.813544,10.899632,1.209747,3.930855,6.487128,-0.326744,6.279931
0.020000,2.894753,10.899369,1.290956,4.060462,6.480362,-0.338304,6.279962
0.020000,2.978551,10.899101,1.374755,4.189930,6.473368,-0.349717,6.280026
0.020000,3.064936,10.898833,1.461140,4.319253,6.466156,-0.360598,6.280128
0.020000,3.153904,10.898567,1.550108,4.448427,6.458696,-0.373007,6.280270
0.020000,3.245453,10.898308,1.641657,4.577447,6.451016,-0.383976,6.280457
0.020000,3.339578,10.898062,1.735783,4.706309,6.443105,-0.395563,6.280690
0.020000,3.436278,10.897834,1.832484,4.835008,6.434945,-0.407981,6.280974
0.020000,3.535549,10.897631,1.931754,4.963540,6.426597,-0.417408,6.281313
0.020000,3.637387,10.897460,2.033592,5.091899,6.417940,-0.432868,6.281710
0.020000,3.741788,10.897329,2.137994,5.220081,6.409107,-0.441642,6.282169
0.020000,3.848750,10.897248,2.244956,5.348081,6.400020,-0.454366,6.282694
0.020000,3.958268,10.897226,2.354474,5.475895,6.390663,-0.467833,0.000104
