dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.604585,9.068998,0.000655,0.065514,3.275699,163.784932,0.000070
0.020000,1.604571,9.068998,0.000669,0.000677,-3.241848,-325.877345,0.000055
0.020000,1.604544,9.068998,0.000696,0.001349,0.033624,163.773628,0.000026
0.020000,1.607712,9.068998,0.003863,0.158373,7.851180,390.877770,6.283167
0.020000,1.618141,9.068998,0.014292,0.521449,18.153813,515.131663,6.283109
0.020000,1.631178,9.068996,0.027329,0.651845,6.519792,-581.701072,6.283037
0.020000,1.646823,9.068993,0.042974,0.782264,6.520922,0.056536,6.282952
0.020000,1.665077,9.068988,0.061228,0.912710,6.522307,0.069238,6.282854
0.020000,1.685941,9.068980,0.082092,1.043188,6.523895,0.079385,6.282745
0.020000,1.709415,9.068968,0.105566,1.173702,6.525699,0.090199,6.282623
0.020000,1.735500,9.068952,0.131651,1.304256,6.527703,0.100221,6.282492
0.020000,1.764197,9.068930,0.160348,1.434855,6.529968,0.113233,6.282351
0.020000,1.795507,9.068902,0.191659,1.565505,6.532473,0.125267,6.282202
0.020000,1.829431,9.068866,0.225583,1.696209,6.535201,0.136371,6.282046
0.020000,1.865971,9.068821,0.262122,1.826971,6.538109,0.145444,6.281884
0.020000,1.905126,9.068767,0.301278,1.957796,6.541266,0.157849,6.281718
0.020000,1.946900,9.068702,0.343052,2.088689,6.544660,0.169685,6.281549
0.020000,1.991293,9.068625,0.387445,2.219654,6.548261,0.180041,6.281378
0.020000,2.038307,9.068536,0.434459,2.350697,6.552135,0.193725,6.281208
0.020000,2.087943,9.068434,0.484095,2.481820,6.556147,0.200565,6.281039
0.020000,2.140204,9.068318,0.536356,2.613029,6.560456,0.215453,6.280875
0.020000,2.195090,9.068186,0.591242,2.744329,6.564971,0.225744,6.280717
0.020000,2.252605,9.068040,0.648757,2.875722,6.569672,0.235081,6.280566
0.020000,2.312749,9.067878,0.708901,3.007216,6.574677,0.250248,6.280426
0.020000,2.375525,9.067701,0.771677,3.138812,6.579819,0.257078,6.280298
0.020000,2.440935,9.067508,0.837088,3.270517,6.585252,0.271650,6.280185
0.020000,2.508981,9.067301,0.905134,3.402335,6.590881,0.281458,6.280089
0.020000,2.579666,9.067079,0.975820,3.534269,6.596731,0.292508,6.280013
0.020000,2.652992,9.066844,1.049146,3.666326,6.602823,0.304583,6.279960
0.020000,2.728962,9.066598,1.125117,3.798508,6.609130,0.315351,6.279931
0.020000,2.807578,9.066342,1.203733,3.930822,6.615669,0.326960,6.279931
0.020000,2.888843,9.066078,1.284998,4.063270,6.622432,0.338126,6.279962
0.020000,2.972760,9.065810,1.368916,4.195859,6.629422,0.349510,6.280026
0.020000,3.059331,9.065541,1.455487,4.328592,6.636652,0.361507,6.280128
0.020000,3.148560,9.065274,1.544717,4.461474,6.644093,0.372066,6.280270
0.020000,3.240450,9.065015,1.636607,4.594509,6.651777,0.384172,6.280457
0.020000,3.335004,9.064767,1.731161,4.727703,6.659692,0.395775,6.280690
0.020000,3.432225,9.064538,1.828382,4.861060,6.667826,0.406673,6.280974
0.020000,3.532116,9.064334,1.928274,4.994584,6.676240,0.420720,6.281313
0.020000,3.634682,9.064162,2.030840,5.128281,6.684817,0.428853,6.281710
0.020000,3.739925,9.064030,2.136083,5.262155,6.693695,0.443881,6.282169
0.020000,3.847849,9.063948,2.244007,5.396211,6.702797,0.455118,6.282694
0.020000,3.958458,9.063926,2.354616,5.530453,6.712113,0.465794,0.000104
0.020000,4.071756,9.063975,2.467914,5.664887,6.721696,0.479143,0.000773
0.020000,4.187746,9.064108,2.583904,5.799517,6.731506,0.490524,0.001521
0.020000,4.306433,9.064337,2.702591,5.934349,6.741630,0.506181,0.002352
0.020000,4.427820,9.064678,2.823979,6.069388,6.751924,0.514699,0.003271
0.020000,4.551912,9.065146,2.948072,6.204638,6.762523,0.529939,0.004282
0.020000,4.678712,9.065758,3.074874,6.340104,6.773258,0.536772,0.005389
0.020000,4.808226,9.066533,3.204389,6.475793,6.784498,0.561996,0.006599
0.020000,4.940457,9.067492,3.336624,6.611708,6.795740,0.562114,0.007915
0.020000,5.075409,9.068656,3.471581,6.747855,6.807354,0.580672,0.009342
0.020000,5.213087,9.070047,3.609266,6.884241,6.819290,0.596827,0.010887
0.020000,5.353494,9.071692,3.749683,7.020869,6.831375,0.604260,0.012553
0.020000,5.496636,9.073616,3.892838,7.157745,6.843827,0.622571,0.014348
0.020000,5.642517,9.075849,4.038735,7.294874,6.856461,0.631729,0.016275
0.020000,5.791140,9.078420,4.187381,7.432263,6.869420,0.647940,0.018341
0.020000,5.942509,9.081363,4.338779,7.569915,6.882601,0.659036,0.020552
0.020000,6.096630,9.084711,4.492936,7.707840,6.896244,0.682162,0.022913
0.020000,6.253505,9.088502,4.649856,7.846036,6.909829,0.679243,0.025431
0.020000,6.413138,9.092775,4.809547,7.984515,6.923913,0.704214,0.028111
0.020000,6.575533,9.097572,4.972012,8.123279,6.938211,0.714894,0.030960
0.020000,6.740692,9.102935,5.137259,8.262333,6.952698,0.724344,0.033984
0.020000,6.908620,9.108911,5.305293,8.401685,6.967616,0.745896,0.037190
0.020000,7.079317,9.115551,5.476119,8.541336,6.982526,0.745499,0.040584
0.020000,7.252787,9.122904,5.649745,8.681293,6.997881,0.767749,0.044173
0.020000,7.429031,9.131027,5.826176,8.821561,7.013387,0.775323,0.047963
0.020000,7.608051,9.139977,6.005419,8.962142,7.029037,0.782472,0.051962
0.020000,7.789846,9.149813,6.187480,9.103042,7.044990,0.797643,0.056176
0.020000,7.974416,9.160601,6.372365,9.244262,7.061001,0.800566,0.060613
0.020000,8.161760,9.172407,6.560081,9.385807,7.077276,0.813722,0.065279
0.020000,8.351877,9.185300,6.750635,9.527679,7.093600,0.816225,0.070181
0.020000,8.544763,9.199356,6.944033,9.669878,7.109964,0.818173,0.075328
0.020000,8.740415,9.214650,7.140281,9.812407,7.126442,0.823926,0.080725
0.020000,8.938826,9.231264,7.339386,9.955265,7.142885,0.822126,0.086381
0.020000,9.139989,9.249281,7.541355,10.098451,7.159320,0.821756,0.092302
0.020000,9.343898,9.268789,7.746194,10.241963,7.175606,0.814331,0.098495
0.020000,9.550540,9.289881,7.953910,10.385798,7.191726,0.805974,0.104968
0.020000,9.759904,9.312651,8.164509,10.529950,7.207625,0.794986,0.111727
0.020000,9.971306,9.337118,8.377322,10.640620,5.533490,-83.706786,0.118757
0.020000,10.183090,9.363163,8.590702,10.669017,1.419824,-205.683289,0.126005
0.020000,10.393604,9.390619,8.802999,10.614840,-2.708816,-206.431982,0.133413
0.020000,10.601781,9.419353,9.013149,10.507522,-5.365916,-132.855015,0.140937
0.020000,10.807226,9.449296,9.220765,10.380782,-6.336995,-48.553928,0.148554
0.020000,11.009922,9.480427,9.425837,10.253619,-6.358179,-1.059245,0.156256
0.020000,11.209851,9.512718,9.628358,10.126028,-6.379506,-1.066320,0.164033
0.020000,11.406999,9.546142,9.828318,9.998016,-6.400633,-1.056350,0.171876
0.020000,11.601347,9.580667,10.025710,9.869575,-6.422025,-1.069609,0.179775
0.020000,11.792883,9.616260,10.220524,9.740726,-6.442462,-1.021871,0.187721
0.020000,11.981591,9.652886,10.412753,9.611460,-6.463281,-1.040905,0.195706
0.020000,12.167457,9.690505,10.602389,9.481786,-6.483744,-1.023151,0.203721
0.020000,12.350471,9.729079,10.789423,9.351713,-6.503648,-0.995245,0.211756
0.020000,12.530619,9.768564,10.973848,9.221240,-6.523620,-0.998572,0.219804
0.020000,12.707892,9.808917,11.155656,9.090386,-6.542733,-0.955677,0.227855
0.020000,12.882280,9.850093,11.334839,8.959144,-6.562085,-0.967586,0.235902
0.020000,13.053774,9.892044,11.511389,8.827530,-6.580711,-0.931300,0.243935
0.020000,13.222367,9.934722,11.685301,8.695561,-6.598430,-0.885936,0.251949
0.020000,13.388053,9.978078,11.856565,8.563233,-6.616392,-0.898105,0.259934
0.020000,13.550827,10.022060,12.025177,8.430569,-6.633215,-0.841146,0.267883
0.020000,13.710685,10.066616,12.191128,8.297566,-6.650160,-0.847258,0.275789
0.020000,13.867624,10.111696,12.354413,8.164245,-6.666056,-0.794793,0.283645
0.020000,14.021642,10.157244,12.515025,8.030626,-6.680922,-0.743299,0.291444
0.020000,14.172739,10.203208,12.672959,7.896683,-6.697131,-0.810437,0.299180
0.020000,14.320916,10.249534,12.828209,7.762476,-6.710359,-0.661430,0.306847
0.020000,14.466175,10.296166,12.980768,7.627996,-6.724022,-0.683150,0.314438
0.020000,14.608517,10.343051,13.130633,7.493250,-6.737286,-0.663167,0.321948
0.020000,14.747947,10.390133,13.277798,7.358247,-6.750158,-0.643595,0.329371
0.020000,14.884470,10.437359,13.422259,7.223021,-6.761302,-0.557223,0.336703
0.020000,15.028265,10.489058,13.575065,7.640326,20.865246,1381.327389,0.359769
0.020000,15.180118,10.549156,13.738378,8.165652,26.266329,270.054153,0.393393
0.020000,15.323728,10.611262,13.894842,7.823194,-17.122923,-2169.462596,0.422402
0.020000,15.459575,10.674382,14.044637,7.489746,-16.672405,22.525917,0.446993
0.020000,15.588182,10.737694,14.187983,7.167312,-16.121682,27.536119,0.467405
0.020000,15.710079,10.800522,14.325119,6.856769,-15.527174,29.725433,0.483900
0.020000,15.825774,10.862317,14.456283,6.558221,-14.927392,29.989108,0.496739
0.020000,15.935744,10.922636,14.581709,6.271295,-14.346285,29.055317,0.506177
0.020000,16.040419,10.981124,14.701616,5.995353,-13.797121,27.458213,0.512452
0.020000,16.140185,11.037499,14.816209,5.729644,-13.285441,25.584010,0.515788
0.020000,16.235384,11.091541,14.925677,5.473410,-12.811703,23.686900,0.516393
0.020000,16.326313,11.143078,15.030196,5.225949,-12.373044,21.932942,0.514457
0.020000,16.413232,11.191984,15.129929,4.986654,-11.964757,20.414342,0.510159
0.020000,16.496364,11.238170,15.225030,4.755033,-11.581058,19.184970,0.503666
0.020000,16.575903,11.281581,15.315644,4.530714,-11.215957,18.255015,0.495138
0.020000,16.652016,11.322191,15.401913,4.313442,-10.863584,17.618665,0.484729
0.020000,16.724847,11.360002,15.483975,4.103077,-10.518261,17.266171,0.472588
0.020000,16.794526,11.395038,15.561966,3.899566,-10.175529,17.136575,0.458866
0.020000,16.861164,11.427349,15.636025,3.702938,-9.831387,17.207116,0.443713
0.020000,16.924866,11.457003,15.706290,3.513273,-9.483270,17.405861,0.427281
0.020000,16.985727,11.484084,15.772904,3.330686,-9.129370,17.694963,0.409723
0.020000,17.043836,11.508695,15.836010,3.155295,-8.769542,17.991430,0.391198
0.020000,17.099281,11.530948,15.895754,2.987203,-8.404600,18.247104,0.371864
0.020000,17.152146,11.550968,15.952283,2.826473,-8.036490,18.405489,0.351883
0.020000,17.202516,11.568887,16.005746,2.673109,-7.668183,18.415352,0.331413
0.020000,17.250473,11.584840,16.056286,2.527042,-7.303383,18.239975,0.310616
0.020000,17.296099,11.598965,16.104049,2.388118,-6.946184,17.859946,0.289646
0.020000,17.339473,11.611402,16.149171,2.256095,-6.601152,17.251611,0.268655
0.020000,17.380672,11.622287,16.191784,2.130655,-6.272017,16.456774,0.247785
0.020000,17.419771,11.631754,16.232012,2.011392,-5.963139,15.443898,0.227172
0.020000,17.456836,11.639931,16.269968,1.897844,-5.677376,14.288131,0.206941
0.020000,17.491933,11.646940,16.305759,1.789504,-5.417027,13.017459,0.187204
0.020000,17.525119,11.652899,16.339475,1.685824,-5.183966,11.653023,0.168064
0.020000,17.556445,11.657918,16.371200,1.586256,-4.978430,10.276821,0.149610
0.020000,17.585954,11.662101,16.401005,1.490239,-4.800864,8.878318,0.131920
0.020000,17.613686,11.665543,16.428950,1.397243,-4.649792,7.553600,0.115060
0.020000,17.639672,11.668337,16.455085,1.306771,-4.523569,6.311116,0.099085
0.020000,17.663937,11.670565,16.479452,1.218361,-4.420542,5.151365,0.084039
0.020000,17.686502,11.672306,16.502084,1.131586,-4.338745,4.089836,0.069959
0.020000,17.707381,11.673632,16.523006,1.046075,-4.275510,3.161765,0.056872
0.020000,17.726587,11.674609,16.542236,0.961520,-4.227746,2.388191,0.044800
0.020000,17.744127,11.675299,16.559789,0.877665,-4.192793,1.747642,0.033756
0.020000,17.760005,11.675755,16.575674,0.794251,-4.170666,1.106349,0.023751
0.020000,17.774225,11.676029,16.589897,0.711144,-4.155361,0.765284,0.014791
0.020000,17.786788,11.676166,16.602461,0.628178,-4.148303,0.352897,0.006881
